# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1780627015.97679 0.006993 0.017455 0.000653 -0.513744 0.457650 -0.527339 0.498534 0.0013088492 0.0000114488 0.0000341301 0.0019605936 -0.0001193219 0.0012832176 0.0050967348 0.0000863640 0.0000161956 0.0051907275 -0.0001400978 0.0011511985
1780627016.04345 0.008805 0.022799 -0.000976 -0.513322 0.459155 -0.528715 0.496123 0.0013230574 0.0000116404 0.0000367486 0.0019994966 -0.0001213954 0.0012991112 0.0094723462 0.0001198720 -0.0000292386 0.0095510763 -0.0002660467 0.0017071396
1780627016.11010 0.011558 0.030442 -0.003439 -0.514207 0.459588 -0.528342 0.495202 0.0013397695 0.0000119678 0.0000394361 0.0020430430 -0.0001237888 0.0013168477 0.0163302435 0.0001645606 -0.0001260734 0.0163500323 -0.0004715461 0.0024057371
1780627016.17676 0.015379 0.039765 -0.006828 -0.516627 0.459366 -0.526993 0.494325 0.0013588170 0.0000111804 0.0000425304 0.0020916603 -0.0001252868 0.0013361847 0.0265165533 0.0002226367 -0.0002997372 0.0264129004 -0.0007882662 0.0032683043
1780627016.24341 0.020490 0.049320 -0.012087 -0.516378 0.462061 -0.525381 0.493789 0.0013796778 0.0000156952 0.0000453108 0.0021448240 -0.0001270221 0.0013581456 0.0409983470 0.0002963444 -0.0005830560 0.0406829344 -0.0012512974 0.0043190359
1780627016.31008 0.026915 0.059151 -0.019372 -0.514505 0.464778 -0.527058 0.491402 0.0014018735 0.0000187156 0.0000489678 0.0022020406 -0.0001309206 0.0013837553 0.0608843038 0.0003884925 -0.0010161888 0.0602422758 -0.0018999975 0.0055862635
1780627016.37672 0.033358 0.070367 -0.030269 -0.512696 0.470551 -0.524998 0.490001 0.0014266202 0.0000278803 0.0000519981 0.0022649842 -0.0001307246 0.0014100275 0.0873759657 0.0005019943 -0.0016409861 0.0862646312 -0.0027793846 0.0071000087
1780627016.44343 0.039873 0.082376 -0.040921 -0.516205 0.473223 -0.524144 0.484629 0.0014531517 0.0000251629 0.0000572022 0.0023345294 -0.0001256048 0.0014370334 0.1219118502 0.0006409747 -0.0025170781 0.1201562044 -0.0039326230 0.0088975944
1780627016.51003 -0.159533 0.172621 -0.058975 -0.522609 0.473191 -0.521451 0.480686 0.0013485229 -0.0000062119 0.0000530341 0.0024032128 -0.0001163423 0.0014216126 0.0049041475 0.0013872914 -0.0051456124 0.0853201831 0.0026889336 0.0100627003
1780627016.57669 -0.180658 0.198639 -0.063599 -0.530872 0.473602 -0.516769 0.476262 0.0013794641 -0.0000164394 0.0000589509 0.0024806960 -0.0001104510 0.0014524984 0.0060673433 0.0020143358 -0.0066669694 0.1141045460 0.0028962789 0.0123588239
1780627016.64334 -0.202006 0.225528 -0.062404 -0.539285 0.465087 -0.522390 0.469014 0.0014138288 -0.0000492163 0.0000674046 0.0025586574 -0.0001138931 0.0014883002 0.0074168544 0.0025818868 -0.0084802080 0.1495744098 0.0032845930 0.0150027134
1780627016.71000 -0.223256 0.255061 -0.060294 -0.540434 0.463624 -0.526510 0.464511 0.0014480875 -0.0000605424 0.0000734890 0.0026416687 -0.0001203077 0.0015279807 0.0091085699 0.0032577142 -0.0106307997 0.1929344916 0.0035924948 0.0180704970
1780627016.77664 -0.279909 0.339438 0.000985 -0.539103 0.464955 -0.526786 0.464415 0.0014803947 -0.0000510913 0.0000611176 0.0027115723 -0.0001003131 0.0014569661 0.0034536236 -0.0006084559 -0.0016679045 0.0068074319 -0.0003552564 0.0041038170
1780627016.84330 -0.304523 0.385589 0.010001 -0.540438 0.463062 -0.527548 0.463890 0.0015190431 -0.0000561510 0.0000670384 0.0028022632 -0.0001081790 0.0014978375 0.0040567585 -0.0010709360 -0.0017476034 0.0074900688 -0.0005084995 0.0047106409
1780627016.90996 -0.363633 0.426316 0.081813 -0.542813 0.460726 -0.520646 0.471183 0.0015238932 -0.0000395432 0.0000834176 0.0027210825 -0.0000920376 0.0015278513 0.0042851709 -0.0017844344 -0.0013005524 0.0082458151 -0.0003886725 0.0039522344
1780627016.97661 -0.391379 0.477693 0.099187 -0.538798 0.462586 -0.521492 0.473029 0.0015640495 -0.0000183199 0.0000890628 0.0028060228 -0.0000986359 0.0015697858 0.0051747373 -0.0025899949 -0.0012680819 0.0092384445 -0.0005137761 0.0043941937
1780627017.04327 -0.419584 0.532392 0.116786 -0.535440 0.465047 -0.521172 0.474779 0.0016043991 -0.0000040393 0.0000956256 0.0028937328 -0.0001068720 0.0016167256 0.0063009036 -0.0035823506 -0.0012364497 0.0104200323 -0.0006417412 0.0048801262
1780627017.10992 -0.448210 0.589433 0.134693 -0.534663 0.466629 -0.519192 0.476269 0.0016478653 0.0000074728 0.0001027158 0.0029857092 -0.0001109328 0.0016641739 0.0077844683 -0.0047983545 -0.0011637315 0.0118588967 -0.0007925537 0.0054410115
1780627017.17657 -0.477019 0.645930 0.154384 -0.534767 0.466278 -0.521453 0.474021 0.0016920756 0.0000055223 0.0001112538 0.0030813140 -0.0001155700 0.0017151634 0.0096996211 -0.0062691152 -0.0010466446 0.0136163738 -0.0009666689 0.0060879184
1780627017.24323 -0.505931 0.702037 0.174389 -0.531048 0.469619 -0.519968 0.476529 0.0017388176 0.0000264196 0.0001182150 0.0031799534 -0.0001241390 0.0017685127 0.0121296413 -0.0080242259 -0.0008799763 0.0157570921 -0.0011643453 0.0068347784
1780627017.30988 -0.535936 0.756383 0.195515 -0.531155 0.469310 -0.522362 0.474089 0.0017864727 0.0000241614 0.0001274575 0.0032833356 -0.0001289723 0.0018240785 0.0151688673 -0.0100941846 -0.0006573206 0.0183564422 -0.0013841461 0.0076974394
1780627017.37654 -0.566836 0.809770 0.217209 -0.535727 0.462981 -0.528153 0.468721 0.0018367858 -0.0000043713 0.0001394648 0.0033901671 -0.0001349323 0.0018814195 0.0189271239 -0.0125139824 -0.0003710662 0.0214991199 -0.0016260987 0.0086931484
1780627017.44319 -0.598745 0.863295 0.236857 -0.539899 0.459914 -0.531958 0.462611 0.0018892339 -0.0000271789 0.0001511461 0.0035013170 -0.0001328936 0.0019400128 0.0235123018 -0.0153149363 -0.0000131454 0.0252674763 -0.0018902192 0.0098396244
