# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1780627013.67721 0.004030 0.010209 -0.001240 -0.524929 0.440466 -0.532188 0.497207 0.0012511631 0.0002229657 0.0000072258 0.0007264743 0.0002399716 0.0012817525 0.0006179692 0.0000328849 0.0000245863 0.0007485944 -0.0000542266 0.0002603908
1780627013.71054 0.005364 0.012489 -0.001694 -0.526138 0.439949 -0.531550 0.497069 0.0012555940 0.0002256432 0.0000079897 0.0007330716 0.0002418147 0.0012890506 0.0010195846 0.0000452924 0.0000313222 0.0011961986 -0.0000780618 0.0003728023
1780627013.74394 0.006855 0.014652 -0.002009 -0.527698 0.438810 -0.532073 0.495862 0.0012591265 0.0002299061 0.0000079716 0.0007419428 0.0002444176 0.0012971489 0.0016021173 0.0000602220 0.0000368870 0.0018324967 -0.0001109236 0.0005091537
1780627013.77719 0.008516 0.016861 -0.002256 -0.528472 0.438305 -0.532489 0.495037 0.0012640395 0.0002331051 0.0000083513 0.0007508163 0.0002478019 0.0013058908 0.0024140208 0.0000776949 0.0000399610 0.0027053325 -0.0001551348 0.0006700350
1780627013.81052 0.010367 0.019236 -0.002378 -0.527845 0.438637 -0.532970 0.494893 0.0012708141 0.0002346123 0.0000091287 0.0007597220 0.0002526472 0.0013149085 0.0035212589 0.0000979742 0.0000390706 0.0038808063 -0.0002140213 0.0008582912
1780627013.84385 0.012402 0.021843 -0.002437 -0.527106 0.439206 -0.533122 0.495013 0.0012786389 0.0002358512 0.0000102788 0.0007687790 0.0002577015 0.0013248548 0.0049922303 0.0001212032 0.0000325237 0.0054269399 -0.0002909798 0.0010757549
1780627013.87717 0.014579 0.024700 -0.002409 -0.526067 0.439755 -0.533662 0.495049 0.0012869353 0.0002371760 0.0000112864 0.0007789142 0.0002636121 0.0013353750 0.0069045086 0.0001475797 0.0000184885 0.0074209899 -0.0003898001 0.0013247172
1780627013.91051 0.016925 0.027956 -0.002444 -0.526162 0.440271 -0.533307 0.494872 0.0012957000 0.0002393592 0.0000128807 0.0007887876 0.0002682366 0.0013478214 0.0093445094 0.0001773041 -0.0000050850 0.0099491220 -0.0005148371 0.0016078367
1780627013.94385 0.019512 0.031713 -0.002457 -0.527387 0.439839 -0.532643 0.494666 0.0013043050 0.0002432398 0.0000143379 0.0007999242 0.0002724122 0.0013612981 0.0124068431 0.0002106074 -0.0000406525 0.0131057198 -0.0006709173 0.0019279606
1780627013.97716 0.022295 0.035853 -0.002371 -0.528792 0.438566 -0.532367 0.494595 0.0013128843 0.0002481640 0.0000152907 0.0008130083 0.0002774336 0.0013749525 0.0161907664 0.0002477383 -0.0000908384 0.0169896008 -0.0008630525 0.0022878537
1780627014.01048 0.025151 0.040173 -0.002232 -0.529617 0.437570 -0.532994 0.493919 0.0013215937 0.0002529733 0.0000158602 0.0008274033 0.0002836436 0.0013892962 0.0208100214 0.0002890503 -0.0001583640 0.0217140893 -0.0010970406 0.0026911863
1780627014.04381 -0.045782 -0.073942 0.020251 -0.527970 0.436492 -0.535292 0.494150 0.0012131783 0.0002262752 0.0000259848 0.0008262736 0.0002669888 0.0012919404 0.0024227613 0.0031061532 -0.0001835165 0.0044022299 -0.0003292395 0.0005647393
1780627014.07715 -0.051924 -0.078119 0.021924 -0.526474 0.437570 -0.534629 0.495509 0.0012248321 0.0002279393 0.0000269281 0.0008415752 0.0002762481 0.0013042083 0.0030553210 0.0039419794 -0.0001468011 0.0055908716 -0.0003052520 0.0006663349
1780627014.11046 -0.058114 -0.081714 0.023562 -0.525746 0.438670 -0.532907 0.497161 0.0012383020 0.0002294775 0.0000301232 0.0008534109 0.0002825368 0.0013201458 0.0037422949 0.0049159891 -0.0001831431 0.0070075774 -0.0003672612 0.0007548798
1780627014.14380 -0.064420 -0.085056 0.025641 -0.526026 0.438719 -0.532058 0.497733 0.0012505595 0.0002327970 0.0000323831 0.0008675794 0.0002890879 0.0013370348 0.0045464787 0.0060629545 -0.0002267076 0.0086912043 -0.0004409397 0.0008551672
1780627014.17712 -0.070676 -0.088337 0.028165 -0.526375 0.438067 -0.532383 0.497589 0.0012620508 0.0002370415 0.0000336219 0.0008842167 0.0002967503 0.0013542499 0.0054805463 0.0074012877 -0.0002783392 0.0106729925 -0.0005276971 0.0009689213
1780627014.21045 -0.076483 -0.091299 0.030986 -0.524652 0.438629 -0.532783 0.498485 0.0012758979 0.0002391779 0.0000354660 0.0009007314 0.0003061287 0.0013712826 0.0065587897 0.0089520125 -0.0003394900 0.0129883985 -0.0006296777 0.0010978994
1780627014.24382 -0.081834 -0.093655 0.034030 -0.521406 0.440090 -0.533239 0.500114 0.0012916443 0.0002397871 0.0000378306 0.0009173926 0.0003168553 0.0013883866 0.0077977570 0.0107391334 -0.0004115390 0.0156777177 -0.0007490699 0.0012441781
1780627014.27710 -0.086679 -0.095121 0.037262 -0.518018 0.441125 -0.534267 0.501622 0.0013074063 0.0002407935 0.0000397179 0.0009358624 0.0003284856 0.0014055590 0.0092073667 0.0127768313 -0.0004953563 0.0187666204 -0.0008872213 0.0014090130
1780627014.31044 -0.091281 -0.095335 0.040354 -0.512624 0.443442 -0.534606 0.504750 0.0013263128 0.0002395140 0.0000430684 0.0009536419 0.0003413371 0.0014224146 0.0108104211 0.0150978682 -0.0005925408 0.0223089884 -0.0010468303 0.0015952598
1780627014.34376 -0.186154 -0.259491 0.097247 -0.509680 0.446629 -0.529452 0.510323 0.0013383210 0.0002202976 0.0000443706 0.0009468293 0.0003485109 0.0014362367 0.0106084310 0.0143243279 0.0001732216 0.0204779131 0.0004073554 0.0012268187
1780627014.37711 -0.281082 -0.332566 0.048965 -0.506773 0.436754 -0.538368 0.512432 0.0013253448 0.0002104431 0.0000480237 0.0009226345 0.0003041808 0.0013467266 0.0023734860 0.0022113375 -0.0000065839 0.0031214807 0.0002879279 0.0014103524
1780627014.41042 -0.132783 -0.118146 0.083289 -0.535399 0.411211 -0.538457 0.504299 0.0013027283 0.0001706944 0.0000295134 0.0008357691 0.0002662684 0.0012192034 0.0010614998 0.0008310206 0.0000701074 0.0013471746 0.0000383420 0.0009116048
1780627014.44375 -0.112899 -0.079396 0.094604 -0.540969 0.407926 -0.534027 0.505731 0.0012494073 0.0001937279 0.0000101564 0.0008269364 0.0002333822 0.0011948551 0.0005378226 0.0004988275 -0.0000537908 0.0008852009 -0.0000900166 0.0005189643
1780627014.47708 -0.117382 -0.078416 0.098147 -0.539035 0.409643 -0.532651 0.507855 0.0012589531 0.0001967387 0.0000110943 0.0008354398 0.0002331257 0.0012009558 0.0005750372 0.0005448646 -0.0000677114 0.0009700752 -0.0000904677 0.0005033922
1780627014.51040 -0.122374 -0.077263 0.101518 -0.536965 0.412085 -0.530598 0.510216 0.0012731196 0.0001920517 0.0000152667 0.0008401454 0.0002354729 0.0012070470 0.0006229832 0.0005916705 -0.0000694264 0.0010600701 -0.0000795980 0.0005016065
1780627014.54372 -0.127651 -0.075810 0.104597 -0.538091 0.413378 -0.527333 0.511368 0.0012862446 0.0001900424 0.0000191080 0.0008446069 0.0002353817 0.0012152410 0.0006777590 0.0006434383 -0.0000720322 0.0011618901 -0.0000680818 0.0004999867
1780627014.57705 -0.133569 -0.074147 0.107834 -0.540868 0.412555 -0.524938 0.511567 0.0012977314 0.0001909433 0.0000214894 0.0008515349 0.0002351249 0.0012234266 0.0007408036 0.0007008780 -0.0000755923 0.0012774436 -0.0000560292 0.0004991275
1780627014.61038 -0.140204 -0.072357 0.111317 -0.546742 0.409204 -0.523045 0.509951 0.0013067898 0.0001961135 0.0000222302 0.0008607161 0.0002335979 0.0012326000 0.0008134311 0.0007646966 -0.0000802947 0.0014085662 -0.0000436130 0.0004996263
