# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1780627014.44375 0.023729 0.039217 0.000866 -0.509373 0.451498 -0.525468 0.510463 0.0036616632 0.0003774261 0.0000350117 0.0027343334 0.0001038218 0.0039784690 0.0023158605 -0.0015824511 0.0050486772 0.0046855236 -0.0059643164 0.0133879346
1780627014.47708 0.026281 0.052640 -0.007376 -0.505772 0.454235 -0.524197 0.512915 0.0037149505 0.0003646198 0.0000388941 0.0027652566 0.0001078553 0.0040310536 0.0003024670 0.0005932208 -0.0001052816 0.0031015767 -0.0009158336 0.0006036449
1780627014.51040 0.035022 0.059040 0.000130 -0.498865 0.459177 -0.523554 0.515927 0.0037675136 0.0003342471 0.0000315660 0.0027869766 0.0000977307 0.0040803330 0.0002021703 0.0002303244 -0.0000659172 0.0018074184 -0.0006973195 0.0005548121
1780627014.54372 0.042194 0.070324 -0.006090 -0.500108 0.461390 -0.517250 0.519099 0.0037076642 0.0003136801 -0.0000016100 0.0026229699 0.0001178295 0.0040169094 0.0001745757 0.0002052955 -0.0000668289 0.0017489574 -0.0007034236 0.0005276005
1780627014.57705 0.045877 0.073356 -0.005611 -0.504121 0.460354 -0.513130 0.520224 0.0037089142 0.0003151529 -0.0000102497 0.0026155143 0.0001023972 0.0040220487 0.0001758431 0.0001968308 -0.0000634222 0.0017394866 -0.0006938711 0.0005325111
1780627014.61038 0.048146 0.077591 -0.007892 -0.509960 0.455950 -0.513395 0.518146 0.0037417085 0.0003182390 0.0000064925 0.0026522025 0.0000988266 0.0040413071 0.0001793448 0.0001972295 -0.0000647675 0.0017452041 -0.0006893321 0.0005352846
1780627014.64370 0.050509 0.083514 -0.010376 -0.518721 0.449352 -0.514101 0.514501 0.0037066043 0.0003517252 0.0000693915 0.0026911538 0.0000789296 0.0040494566 0.0001911198 0.0002017019 -0.0000681593 0.0017599055 -0.0006863692 0.0005410579
1780627014.67703 0.053241 0.088256 -0.009363 -0.521570 0.447875 -0.513678 0.513329 0.0037136249 0.0003795590 0.0000646996 0.0026921466 0.0000972184 0.0039809117 0.0001955245 0.0002125752 -0.0000643572 0.0017614951 -0.0006875088 0.0005475096
1780627014.71036 0.049152 0.088149 -0.012295 -0.521868 0.443380 -0.514284 0.516313 0.0035999696 0.0003891125 0.0000398007 0.0026021342 0.0000735635 0.0039337854 0.0001643564 0.0001852670 -0.0000740097 0.0017151685 -0.0006926105 0.0005234755
1780627014.74369 0.048722 0.089908 -0.012407 -0.519610 0.443131 -0.514204 0.518878 0.0035897856 0.0003848338 0.0000475007 0.0025997961 0.0000830510 0.0038630620 0.0001627274 0.0001854636 -0.0000736979 0.0017100494 -0.0006913622 0.0005211862
