# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1780627014.443746089935303,0.01893,0.00018,0.00083,0.00000,0.00000,0.00553,0.02548
1780627014.477079153060913,0.02199,0.00014,0.00066,0.00000,0.00000,0.00299,0.02578
1780627014.510401964187622,0.02037,0.00015,0.00023,0.00000,0.00000,0.00449,0.02524
1780627014.543722152709961,0.01898,0.00016,0.00070,0.00000,0.00000,0.00415,0.02399
1780627014.577049970626831,0.01899,0.00017,0.00082,0.00000,0.00000,0.00317,0.02314
1780627014.610382080078125,0.01543,0.00016,0.00080,0.00000,0.00000,0.00395,0.02035
1780627014.643696069717407,0.01776,0.00016,0.00045,0.00000,0.00000,0.00326,0.02163
1780627014.677025079727173,0.01580,0.00017,0.00056,0.00000,0.00000,0.00322,0.01976
1780627014.710361957550049,0.01274,0.00016,0.00034,0.00000,0.00289,0.00320,0.01933
1780627014.743685960769653,0.01809,0.00017,0.00087,0.00030,0.00000,0.00308,0.02251
1780627022.875545024871826,0.01525,0.00023,0.00318,0.00001,0.00000,0.00372,0.02239
1780627022.908879995346069,0.01765,0.00027,0.00144,0.00000,0.00000,0.00359,0.02296
1780627022.942197084426880,0.01938,0.00020,0.00055,0.00000,0.00000,0.00361,0.02374
1780627022.975522041320801,0.01831,0.00019,0.00047,0.00000,0.00000,0.00377,0.02274
1780627023.008855104446411,0.01499,0.00022,0.00035,0.00000,0.00000,0.00389,0.01945
1780627023.042174100875854,0.01640,0.00021,0.00032,0.00000,0.00000,0.00376,0.02069
1780627023.075510978698730,0.01495,0.00019,0.00035,0.00000,0.00000,0.00388,0.01937
1780627023.108875036239624,0.01258,0.00019,0.00036,0.00000,0.00000,0.00369,0.01682
1780627023.142166137695312,0.02013,0.00019,0.00057,0.00000,0.00000,0.00358,0.02446
1780627023.175483942031860,0.02010,0.00019,0.00050,0.00000,0.00000,0.00398,0.02477
1780627023.208817958831787,0.01626,0.00017,0.00030,0.00000,0.00000,0.00356,0.02030
