# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1781061930.57325 0.002172 0.003317 0.001533 -0.295864 0.216183 -0.647489 0.668197 0.0044009511 0.0001579238 -0.0002491907 0.0028974585 0.0021784104 0.0027050310 0.0246243694 0.0031879285 -0.0004664135 0.0233021237 0.0001418349 0.0187557914
1781061930.60658 0.002410 0.003971 0.002080 -0.295682 0.216898 -0.647738 0.667805 0.0045087749 0.0001553292 -0.0002469015 0.0030012919 0.0021784288 0.0028155156 0.0346503878 0.0035896911 -0.0006042900 0.0326264287 0.0002118889 0.0270411084
1781061930.63990 0.002483 0.004729 0.002845 -0.295161 0.216975 -0.648082 0.667676 0.0046283597 0.0001534191 -0.0002456341 0.0031235540 0.0021780799 0.0029318427 0.0466357652 0.0040522182 -0.0007672868 0.0437946673 0.0002942401 0.0369159354
1781061930.67323 0.002542 0.005612 0.003685 -0.295281 0.216827 -0.648144 0.667611 0.0047593519 0.0001544903 -0.0002463729 0.0032550217 0.0021776510 0.0030637244 0.0606597619 0.0045751035 -0.0009558321 0.0568882157 0.0003887859 0.0484251816
1781061930.70656 0.002656 0.006589 0.004501 -0.295947 0.216688 -0.648036 0.667466 0.0049019757 0.0001575923 -0.0002484563 0.0033948119 0.0021772278 0.0032118080 0.0768081720 0.0051576774 -0.0011704083 0.0719956261 0.0004954248 0.0616158512
1781061930.73988 0.002804 0.007650 0.005283 -0.296804 0.216553 -0.647974 0.667190 0.0050564105 0.0001616005 -0.0002513913 0.0035453129 0.0021767350 0.0033733933 0.0951733424 0.0057990006 -0.0014113851 0.0892126343 0.0006139980 0.0765367838
1781061930.77321 0.002983 0.008780 0.006106 -0.297701 0.216328 -0.647948 0.666888 0.0052227660 0.0001661301 -0.0002548434 0.0037081939 0.0021761413 0.0035468654 0.1158711177 0.0064984384 -0.0016793883 0.1086581094 0.0007444074 0.0932520476
1781061930.80654 0.003163 0.009951 0.006975 -0.298327 0.216409 -0.648071 0.666462 0.0054015685 0.0001688136 -0.0002568654 0.0038829360 0.0021756608 0.0037321178 0.1390185014 0.0072549488 -0.0019748857 0.1304531562 0.0008865187 0.1118231609
1781061930.83986 0.003409 0.011163 0.007930 -0.298620 0.217029 -0.647754 0.666438 0.0055932697 0.0001676052 -0.0002541914 0.0040682489 0.0021757101 0.0039299408 0.1647463404 0.0080674747 -0.0022987961 0.1547329833 0.0010401349 0.1323188476
1781061930.87319 0.003703 0.012390 0.009006 -0.298131 0.217651 -0.647324 0.666871 0.0057977586 0.0001627920 -0.0002480927 0.0042707647 0.0021759579 0.0041339819 0.1932075778 0.0089351926 -0.0026520153 0.1816547809 0.0012052717 0.1548215021
