# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1781061930.573245048522949,0.00632,0.00008,0.00109,0.00000,0.00000,0.00483,0.01233
1781061930.606575965881348,0.00682,0.00009,0.00075,0.00000,0.00000,0.00315,0.01081
1781061930.639899015426636,0.00624,0.00009,0.00071,0.00000,0.00000,0.00302,0.01007
1781061930.673227071762085,0.00639,0.00016,0.00077,0.00000,0.00000,0.00729,0.01462
1781061930.706557989120483,0.00677,0.00008,0.00061,0.00000,0.00000,0.00322,0.01068
1781061930.739881992340088,0.00634,0.00010,0.00042,0.00000,0.00000,0.00329,0.01015
1781061930.773211002349854,0.00571,0.00009,0.00033,0.00000,0.00000,0.00329,0.00942
1781061930.806538105010986,0.00635,0.00009,0.00025,0.00000,0.00000,0.00334,0.01004
1781061930.839860916137695,0.00618,0.00010,0.00032,0.00000,0.00000,0.00327,0.00987
1781061930.873188972473145,0.00604,0.00009,0.00022,0.00000,0.00000,0.00312,0.00947
1781061930.906516075134277,0.00570,0.00008,0.00029,0.00000,0.00000,0.00333,0.00940
1781061930.939845085144043,0.00596,0.00009,0.00025,0.00000,0.00000,0.00347,0.00977
1781061930.973170995712280,0.00566,0.00008,0.00021,0.00000,0.00000,0.00336,0.00932
1781061931.006544113159180,0.00622,0.00008,0.00084,0.00000,0.00000,0.00321,0.01035
1781061931.039828062057495,0.00630,0.00009,0.00106,0.00000,0.00000,0.00353,0.01098
1781061931.073154926300049,0.00738,0.00009,0.00105,0.00000,0.00000,0.00314,0.01167
1781061931.106481075286865,0.00665,0.00010,0.00071,0.00000,0.00000,0.00322,0.01068
1781061931.139807939529419,0.00592,0.00009,0.00030,0.00000,0.00000,0.00361,0.00993
1781061931.173134088516235,0.00630,0.00009,0.00039,0.00000,0.00000,0.00345,0.01022
1781061931.206465005874634,0.00652,0.00010,0.00017,0.00000,0.00000,0.00365,0.01044
1781061931.239790916442871,0.00556,0.00009,0.00035,0.00000,0.00000,0.00350,0.00951
1781061931.273116111755371,0.00613,0.00009,0.00029,0.00000,0.00000,0.00354,0.01006
1781061931.306445121765137,0.00632,0.00009,0.00031,0.00000,0.00000,0.00346,0.01019
1781061931.339770078659058,0.00981,0.00009,0.00070,0.00000,0.00000,0.00348,0.01408
1781061931.373099088668823,0.00790,0.00009,0.00020,0.00000,0.00000,0.00351,0.01172
1781061931.406422138214111,0.00822,0.00009,0.00095,0.00000,0.00000,0.00323,0.01249
1781061931.439752101898193,0.00674,0.00009,0.00031,0.00000,0.00075,0.00327,0.01115
1781061931.473079919815063,0.00669,0.00015,0.00019,0.00000,0.00063,0.00397,0.01162
1781061931.506407976150513,0.00664,0.00010,0.00017,0.00000,0.00003,0.00360,0.01054
1781061931.539740085601807,0.00617,0.00011,0.00021,0.00000,0.00001,0.00346,0.00996
1781061931.573058128356934,0.00677,0.00009,0.00026,0.00000,0.00003,0.00362,0.01077
1781061931.606384992599487,0.00648,0.00009,0.00016,0.00000,0.00001,0.00328,0.01004
1781061931.639713048934937,0.00725,0.00009,0.00034,0.00000,0.00003,0.00367,0.01138
1781061931.673042058944702,0.00658,0.00008,0.00012,0.00000,0.00002,0.00318,0.00998
1781061931.706367969512939,0.00555,0.00008,0.00015,0.00000,0.00008,0.00311,0.00897
1781061931.739696025848389,0.00636,0.00008,0.00025,0.00000,0.00022,0.00302,0.00994
1781061931.773024082183838,0.00679,0.00009,0.00035,0.00000,0.00003,0.00341,0.01067
1781061931.806347131729126,0.00671,0.00012,0.00028,0.00000,0.00070,0.00308,0.01090
1781061931.839684963226318,0.00671,0.00010,0.00015,0.00000,0.00078,0.00335,0.01108
1781061931.873003005981445,0.00650,0.00008,0.00023,0.00000,0.00055,0.00328,0.01064
1781061931.906332969665527,0.00691,0.00009,0.00020,0.00000,0.00003,0.00347,0.01069
1781061931.939660072326660,0.00585,0.00009,0.00024,0.00000,0.00003,0.00321,0.00943
1781061931.972989082336426,0.00762,0.00010,0.00038,0.00000,0.00012,0.00392,0.01215
1781061932.006310939788818,0.00696,0.00009,0.00016,0.00000,0.00003,0.00344,0.01067
1781061932.039637088775635,0.00511,0.00008,0.00012,0.00000,0.00003,0.00342,0.00876
1781061932.072968959808350,0.00584,0.00009,0.00027,0.00000,0.00000,0.00346,0.00966
1781061932.106292009353638,0.00627,0.00009,0.00019,0.00000,0.00008,0.00317,0.00981
1781061932.139621019363403,0.00615,0.00008,0.00020,0.00000,0.00010,0.00392,0.01046
1781061932.172946929931641,0.00654,0.00031,0.00023,0.00000,0.00008,0.00342,0.01058
1781061932.206274032592773,0.00646,0.00008,0.00020,0.00000,0.00079,0.00356,0.01110
1781061932.239601135253906,0.00583,0.00009,0.00022,0.00000,0.00069,0.00322,0.01005
1781061932.272933006286621,0.00568,0.00008,0.00028,0.00000,0.00052,0.00378,0.01035
1781061932.306257009506226,0.00667,0.00010,0.00040,0.00000,0.00005,0.00311,0.01033
1781061932.339581012725830,0.01182,0.00009,0.00062,0.00000,0.00003,0.00436,0.01692
1781061932.372909069061279,0.00861,0.00008,0.00009,0.00000,0.00009,0.00337,0.01223
1781061932.406238079071045,0.00749,0.00008,0.00017,0.00000,0.00004,0.00328,0.01106
1781061932.439563035964966,0.00714,0.00010,0.00020,0.00000,0.00000,0.00309,0.01053
1781061932.472891092300415,0.00734,0.00009,0.00018,0.00000,0.00000,0.00345,0.01107
1781061932.506220102310181,0.00647,0.00009,0.00012,0.00000,0.00007,0.00356,0.01031
1781061932.539546966552734,0.00552,0.00016,0.00023,0.00000,0.00002,0.00335,0.00930
1781061932.572873115539551,0.00702,0.00009,0.00036,0.00000,0.00004,0.00360,0.01110
1781061932.606204986572266,0.00649,0.00008,0.00022,0.00000,0.00070,0.00381,0.01130
1781061932.639526128768921,0.00581,0.00010,0.00015,0.00000,0.00050,0.00314,0.00970
1781061932.672852039337158,0.00564,0.00011,0.00038,0.00000,0.00041,0.00313,0.00967
1781061932.706180095672607,0.00734,0.00009,0.00041,0.00000,0.00003,0.00333,0.01120
1781061932.739517927169800,0.00918,0.00009,0.00029,0.00000,0.00028,0.00394,0.01377
1781061932.772835016250610,0.00799,0.00009,0.00026,0.00000,0.00018,0.00331,0.01183
1781061932.806163072586060,0.00756,0.00008,0.00029,0.00000,0.00003,0.00321,0.01118
1781061932.839491128921509,0.00672,0.00009,0.00030,0.00000,0.00010,0.00345,0.01066
1781061932.872816085815430,0.00826,0.00008,0.00027,0.00000,0.00000,0.00348,0.01211
1781061932.906145095825195,0.00876,0.00008,0.00032,0.00000,0.00005,0.00314,0.01235
1781061932.939475059509277,0.00749,0.00009,0.00022,0.00000,0.00000,0.00384,0.01164
1781061932.972800016403198,0.00725,0.00009,0.00037,0.00000,0.00000,0.00366,0.01138
1781061933.006124019622803,0.00647,0.00008,0.00020,0.00000,0.00041,0.00319,0.01035
1781061933.039467096328735,0.00693,0.00008,0.00023,0.00000,0.00038,0.00318,0.01080
1781061933.072777986526489,0.00708,0.00009,0.00042,0.00000,0.00024,0.00320,0.01104
1781061933.106114149093628,0.00797,0.00008,0.00038,0.00000,0.00006,0.00314,0.01163
1781061933.139446973800659,0.01054,0.00008,0.00051,0.00000,0.00017,0.00305,0.01436
1781061933.172760963439941,0.00833,0.00008,0.00024,0.00000,0.00020,0.00324,0.01210
1781061933.206093072891235,0.00841,0.00008,0.00028,0.00000,0.00008,0.00319,0.01204
1781061933.239413022994995,0.00901,0.00009,0.00037,0.00000,0.00006,0.00315,0.01268
1781061933.272741079330444,0.00707,0.00015,0.00013,0.00000,0.00005,0.00328,0.01068
1781061933.306070089340210,0.00566,0.00009,0.00018,0.00000,0.00018,0.00313,0.00924
1781061933.339401960372925,0.01056,0.00009,0.00066,0.00000,0.00003,0.00349,0.01483
1781061933.372725009918213,0.00816,0.00008,0.00027,0.00000,0.00003,0.00309,0.01164
1781061933.406055927276611,0.00697,0.00008,0.00006,0.00000,0.00039,0.00319,0.01069
1781061933.439377069473267,0.00626,0.00009,0.00025,0.00000,0.00026,0.00309,0.00995
1781061933.472705125808716,0.00708,0.00009,0.00037,0.00000,0.00026,0.00330,0.01109
1781061933.506032943725586,0.00740,0.00009,0.00023,0.00000,0.00007,0.00362,0.01140
1781061933.539359092712402,0.00716,0.00009,0.00033,0.00000,0.00010,0.00357,0.01125
1781061933.572696924209595,0.00950,0.00008,0.00037,0.00000,0.00026,0.00309,0.01330
1781061933.606012105941772,0.01068,0.00008,0.00028,0.00000,0.00011,0.00317,0.01432
1781061933.639339923858643,0.00947,0.00008,0.00015,0.00000,0.00006,0.00341,0.01317
1781061933.672666072845459,0.00766,0.00010,0.00015,0.00000,0.00003,0.00310,0.01104
1781061933.706000089645386,0.00894,0.00008,0.00034,0.00000,0.00009,0.00358,0.01302
1781061933.739321947097778,0.00820,0.00008,0.00022,0.00000,0.00011,0.00289,0.01151
1781061933.772648096084595,0.00708,0.00009,0.00018,0.00000,0.00009,0.00307,0.01051
1781061933.805974006652832,0.00693,0.00008,0.00025,0.00000,0.00034,0.00358,0.01120
1781061933.839303016662598,0.00755,0.00009,0.00026,0.00000,0.00023,0.00307,0.01121
1781061933.872630119323730,0.00679,0.00009,0.00016,0.00000,0.00032,0.00351,0.01088
1781061933.905959129333496,0.00682,0.00009,0.00020,0.00000,0.00005,0.00348,0.01064
1781061933.939285993576050,0.00643,0.00009,0.00038,0.00000,0.00012,0.00352,0.01054
1781061933.972624063491821,0.00667,0.00009,0.00022,0.00000,0.00026,0.00316,0.01039
1781061934.005943059921265,0.00717,0.00009,0.00018,0.00000,0.00036,0.00377,0.01156
1781061934.039263963699341,0.00677,0.00009,0.00028,0.00000,0.00005,0.00329,0.01048
1781061934.072596073150635,0.00746,0.00008,0.00020,0.00000,0.00002,0.00320,0.01097
1781061934.105926036834717,0.00722,0.00008,0.00016,0.00000,0.00044,0.00352,0.01142
1781061934.139245986938477,0.00575,0.00010,0.00013,0.00000,0.00005,0.00313,0.00915
1781061934.172574996948242,0.00605,0.00009,0.00027,0.00000,0.00005,0.00363,0.01010
1781061934.205918073654175,0.00701,0.00008,0.00019,0.00000,0.00052,0.00357,0.01138
1781061934.239228010177612,0.00766,0.00009,0.00037,0.00000,0.00023,0.00312,0.01147
1781061934.272552967071533,0.01107,0.00009,0.00038,0.00000,0.00026,0.00310,0.01490
1781061934.305881977081299,0.01080,0.00009,0.00021,0.00000,0.00004,0.00323,0.01437
1781061934.339210987091064,0.01650,0.00009,0.00044,0.00000,0.00020,0.00332,0.02056
1781061934.372543096542358,0.00953,0.00008,0.00007,0.00000,0.00020,0.00335,0.01324
1781061934.405869960784912,0.00783,0.00008,0.00007,0.00000,0.00027,0.00385,0.01211
1781061934.439193964004517,0.00711,0.00010,0.00016,0.00000,0.00004,0.00324,0.01065
1781061934.472535133361816,0.00643,0.00009,0.00027,0.00000,0.00002,0.00318,0.00998
1781061934.505850076675415,0.00712,0.00008,0.00022,0.00000,0.00027,0.00309,0.01078
1781061934.539170980453491,0.00631,0.00009,0.00028,0.00000,0.00000,0.00314,0.00983
1781061934.572499036788940,0.00694,0.00009,0.00033,0.00000,0.00003,0.00326,0.01065
1781061934.605823993682861,0.00649,0.00009,0.00015,0.00000,0.00034,0.00324,0.01031
