# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1781061939.238291978836060,0.01288,0.00025,0.00043,0.00000,0.00000,0.00465,0.01820
1781061939.271621942520142,0.01038,0.00016,0.00037,0.00000,0.00000,0.00316,0.01408
1781061939.304949998855591,0.00810,0.00016,0.00021,0.00000,0.00000,0.00399,0.01246
1781061939.338277101516724,0.01616,0.00021,0.00056,0.00000,0.00000,0.00463,0.02157
1781061939.371604919433594,0.01595,0.00018,0.00056,0.00000,0.00000,0.00352,0.02020
1781061939.404932975769043,0.00923,0.00015,0.00030,0.00000,0.00000,0.00310,0.01278
1781061939.438256025314331,0.01005,0.00016,0.00042,0.00000,0.00000,0.00312,0.01374
1781061939.471586942672729,0.01208,0.00017,0.00063,0.00000,0.00000,0.00325,0.01614
1781061939.504913091659546,0.01033,0.00016,0.00042,0.00000,0.00779,0.00345,0.02215
1781061939.538243055343628,0.01546,0.00019,0.00101,0.00102,0.00106,0.00306,0.02180
1781061939.571563959121704,0.01772,0.00020,0.00137,0.00114,0.00002,0.00333,0.02377
1781061939.604905128479004,0.01174,0.00018,0.00064,0.00115,0.00129,0.00307,0.01808
1781061939.638226032257080,0.00982,0.00017,0.00016,0.00138,0.00032,0.00319,0.01504
1781061939.671545028686523,0.00804,0.00019,0.00068,0.00088,0.00026,0.00366,0.01371
1781061939.704879045486450,0.00818,0.00018,0.00069,0.00059,0.00000,0.00323,0.01287
1781061939.738202095031738,0.00834,0.00017,0.00028,0.00059,0.00003,0.00372,0.01314
1781061939.771527051925659,0.00820,0.00018,0.00085,0.00061,0.00102,0.00367,0.01452
1781061939.804856061935425,0.00723,0.00020,0.00042,0.00082,0.00000,0.00350,0.01218
1781061939.838185071945190,0.00799,0.00018,0.00065,0.00075,0.00321,0.00419,0.01699
1781061939.871510028839111,0.00833,0.00018,0.00039,0.00130,0.00088,0.00411,0.01519
1781061939.904838085174561,0.00887,0.00017,0.00109,0.00131,0.00730,0.00377,0.02251
1781061941.004640102386475,0.01131,0.00024,0.00200,0.00017,0.00009,0.00360,0.01741
1781061941.637846946716309,0.01748,0.00022,0.00103,0.00009,0.00000,0.00401,0.02284
1781061941.671172142028809,0.01102,0.00031,0.00036,0.00008,0.00000,0.00314,0.01492
1781061941.704499006271362,0.01521,0.00020,0.00042,0.00007,0.00000,0.00314,0.01905
1781061941.737827062606812,0.01690,0.00018,0.00028,0.00005,0.00002,0.00313,0.02056
1781061941.771157979965210,0.01689,0.00018,0.00041,0.00005,0.00003,0.00325,0.02081
1781061941.804482936859131,0.01609,0.00017,0.00040,0.00004,0.00000,0.00338,0.02008
1781061941.837808132171631,0.01174,0.00016,0.00046,0.00003,0.00000,0.00322,0.01561
1781061941.871139049530029,0.01456,0.00021,0.00059,0.00003,0.00000,0.00377,0.01916
1781061941.904463052749634,0.01171,0.00018,0.00039,0.00005,0.00000,0.00316,0.01548
1781061941.937792062759399,0.01455,0.00016,0.00060,0.00003,0.00000,0.00337,0.01872
1781061941.971115112304688,0.01740,0.00017,0.00038,0.00005,0.00052,0.00342,0.02194
1781061942.004441976547241,0.01666,0.00016,0.00044,0.00006,0.00274,0.00324,0.02330
1781061942.037774085998535,0.01565,0.00014,0.00027,0.00030,0.00002,0.00370,0.02008
1781061942.071099042892456,0.01199,0.00015,0.00034,0.00022,0.00007,0.00328,0.01605
