# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1781667575.482587099075317,0.00592,0.00009,0.00102,0.00000,0.00001,0.00586,0.01291
1781667575.515905141830444,0.00953,0.00008,0.00052,0.00000,0.00000,0.00328,0.01342
1781667575.549230098724365,0.00659,0.00009,0.00025,0.00000,0.00000,0.00325,0.01017
1781667575.582556247711182,0.00585,0.00010,0.00036,0.00000,0.00000,0.00349,0.00981
1781667575.615885019302368,0.00699,0.00009,0.00024,0.00000,0.00000,0.00352,0.01085
1781667575.649208068847656,0.00769,0.00016,0.00034,0.00000,0.00000,0.00390,0.01209
1781667575.682536125183105,0.00748,0.00010,0.00027,0.00000,0.00000,0.00405,0.01190
1781667575.715864181518555,0.00670,0.00010,0.00021,0.00000,0.00000,0.00382,0.01083
1781667575.749190092086792,0.00632,0.00009,0.00147,0.00000,0.00000,0.00369,0.01159
1781667575.782526016235352,0.00695,0.00010,0.00129,0.00000,0.00000,0.00381,0.01216
1781667575.815847158432007,0.00701,0.00009,0.00118,0.00000,0.00000,0.00547,0.01376
1781667575.849175214767456,0.00718,0.00010,0.00084,0.00000,0.00000,0.00428,0.01241
1781667575.882498025894165,0.00733,0.00010,0.00056,0.00000,0.00000,0.00375,0.01175
1781667575.915831089019775,0.00814,0.00009,0.00066,0.00000,0.00000,0.00362,0.01252
1781667575.949155092239380,0.00810,0.00009,0.00023,0.00000,0.00000,0.00375,0.01218
1781667575.982477188110352,0.00797,0.00010,0.00030,0.00000,0.00000,0.00375,0.01212
1781667576.015807151794434,0.00741,0.00010,0.00039,0.00000,0.00000,0.00358,0.01149
1781667576.049134016036987,0.00758,0.00010,0.00034,0.00000,0.00000,0.00364,0.01167
1781667576.082468032836914,0.00900,0.00010,0.00050,0.00000,0.00000,0.00414,0.01374
1781667576.115786075592041,0.00812,0.00011,0.00029,0.00000,0.00000,0.00372,0.01225
1781667576.149122238159180,0.00867,0.00009,0.00124,0.00000,0.00000,0.00366,0.01366
1781667576.182442188262939,0.00756,0.00011,0.00125,0.00000,0.00000,0.00381,0.01273
1781667576.215766191482544,0.00837,0.00009,0.00116,0.00000,0.00000,0.00370,0.01332
1781667576.249092102050781,0.01484,0.00009,0.00072,0.00000,0.00000,0.00352,0.01917
1781667576.282436132431030,0.01146,0.00010,0.00045,0.00000,0.00000,0.00357,0.01558
1781667576.315748214721680,0.00936,0.00009,0.00047,0.00000,0.00000,0.00418,0.01410
1781667576.349075078964233,0.00805,0.00009,0.00011,0.00000,0.00002,0.00402,0.01228
1781667576.382413148880005,0.00641,0.00011,0.00015,0.00000,0.00002,0.00397,0.01066
1781667576.415727138519287,0.00660,0.00010,0.00020,0.00000,0.00005,0.00408,0.01103
1781667576.449054241180420,0.00679,0.00009,0.00022,0.00000,0.00003,0.00362,0.01076
1781667576.482383251190186,0.00643,0.00010,0.00029,0.00000,0.00009,0.00377,0.01069
1781667576.515706062316895,0.00620,0.00009,0.00028,0.00000,0.00005,0.00400,0.01062
1781667576.549037218093872,0.00673,0.00010,0.00024,0.00000,0.00106,0.00367,0.01179
1781667576.582364082336426,0.00693,0.00010,0.00039,0.00000,0.00108,0.00385,0.01235
1781667576.615690231323242,0.00711,0.00009,0.00029,0.00000,0.00096,0.00373,0.01219
1781667576.649017095565796,0.00708,0.00009,0.00027,0.00000,0.00035,0.00452,0.01232
1781667576.682347059249878,0.00682,0.00010,0.00026,0.00000,0.00010,0.00392,0.01120
1781667576.715670108795166,0.00701,0.00009,0.00028,0.00000,0.00038,0.00353,0.01130
1781667576.749000072479248,0.00693,0.00009,0.00032,0.00000,0.00002,0.00384,0.01120
1781667576.782323122024536,0.00768,0.00013,0.00019,0.00000,0.00000,0.00358,0.01157
1781667576.815650224685669,0.00732,0.00010,0.00027,0.00000,0.00009,0.00350,0.01128
1781667576.848977088928223,0.00749,0.00010,0.00028,0.00000,0.00009,0.00358,0.01154
1781667576.882312059402466,0.00685,0.00010,0.00029,0.00000,0.00005,0.00377,0.01107
1781667576.915633201599121,0.00870,0.00010,0.00033,0.00000,0.00000,0.00418,0.01331
1781667576.948956251144409,0.00848,0.00009,0.00022,0.00000,0.00095,0.00389,0.01363
1781667576.982283115386963,0.00747,0.00010,0.00024,0.00000,0.00111,0.00368,0.01260
1781667577.015613079071045,0.00776,0.00010,0.00024,0.00000,0.00094,0.00369,0.01274
1781667577.048935174942017,0.00775,0.00012,0.00025,0.00000,0.00011,0.00357,0.01180
1781667577.082266092300415,0.00807,0.00009,0.00023,0.00000,0.00003,0.00367,0.01209
1781667577.115588188171387,0.00783,0.00010,0.00036,0.00000,0.00032,0.00379,0.01240
1781667577.148916244506836,0.00847,0.00011,0.00032,0.00000,0.00006,0.00374,0.01270
1781667577.182245016098022,0.00760,0.00011,0.00016,0.00000,0.00006,0.00383,0.01176
1781667577.215572118759155,0.00745,0.00010,0.00024,0.00000,0.00006,0.00382,0.01168
1781667577.248897075653076,0.01190,0.00010,0.00089,0.00000,0.00002,0.00404,0.01695
1781667577.282235145568848,0.01168,0.00011,0.00013,0.00000,0.00002,0.00401,0.01594
1781667577.315555095672607,0.00868,0.00010,0.00007,0.00000,0.00014,0.00423,0.01322
1781667577.348878145217896,0.00639,0.00009,0.00010,0.00000,0.00070,0.00343,0.01072
1781667577.382211208343506,0.00588,0.00009,0.00017,0.00000,0.00084,0.00402,0.01100
1781667577.415531158447266,0.00564,0.00009,0.00024,0.00000,0.00079,0.00365,0.01041
1781667577.448858022689819,0.00635,0.00011,0.00012,0.00000,0.00012,0.00349,0.01020
1781667577.482186079025269,0.00609,0.00010,0.00030,0.00000,0.00003,0.00395,0.01047
1781667577.515523195266724,0.00624,0.00009,0.00020,0.00000,0.00026,0.00366,0.01045
1781667577.548842191696167,0.00636,0.00009,0.00033,0.00000,0.00002,0.00387,0.01067
1781667577.582167148590088,0.00739,0.00010,0.00021,0.00000,0.00011,0.00407,0.01189
